match_played,team_id,team_name,season,team_total_points_rank,team_total_points,team_all_outs_conceded,team_all_outs_conceded_rank,team_all_outs_inflicted,team_all_outs_inflicted_rank,team_average_raid_points,team_average_raid_points_rank,team_average_tackle_points,team_average_tackle_points_rank,team_avg_points_scored,team_avg_points_scored_rank,team_dod_raid_points,team_dod_raid_points_rank,team_raid_points,team_raid_points_rank,team_successful_raids,team_successful_raids_rank,team_successful_tackles,team_successful_tackles_rank,team_super_raid,team_super_raid_rank,team_super_tackles,team_super_tackles_rank,team_tackle_points,team_tackle_points_rank,team_total_points_conceded,team_total_points_conceded_rank
16,4,Bengal Warriors,49,1,547,13,11,24,1,19.88,3,9.69,10,29.56,3,46,7,318,2,256,1,145,1,12,1,12,8,155,4,475,4
16,1,Bengaluru Bulls,49,2,544,19,2,17,6,20.13,2,10.25,7,30.37,1,35,10,322,1,256,1,141,3,6,4,25,1,164,1,530,1
14,2,Dabang Delhi K.C.,49,3,496,11,12,22,2,20.71,1,9.07,11,29.78,2,35,10,290,3,242,3,122,12,6,4,7,12,127,12,440,9
15,6,Patna Pirates,49,4,470,17,5,20,3,17.27,5,10.27,6,27.53,5,55,2,259,5,211,4,133,8,9,3,21,3,154,5,484,3
14,28,Haryana Steelers,49,5,464,15,8,19,5,18.57,4,10.57,4,29.14,4,47,6,260,4,203,5,138,6,10,2,10,10,148,7,435,10
15,5,U Mumba,49,6,459,16,6,20,3,16.4,7,9.87,9,26.26,9,55,2,246,7,192,7,135,7,6,4,15,6,148,7,433,11
15,3,Jaipur Pink Panthers,49,7,452,14,9,15,7,15.53,10,10.93,2,26.46,7,57,1,233,8,185,9,142,2,5,7,23,2,164,1,452,7
15,29,Tamil Thalaivas,49,8,432,19,2,10,11,16.87,6,8.8,12,25.66,10,43,9,253,6,203,5,124,11,4,8,10,10,132,11,488,2
14,7,Puneri Paltan,49,9,424,20,1,11,10,16.14,8,11.21,1,27.35,6,50,4,226,9,185,9,141,3,3,11,16,5,157,3,458,5
14,8,Telugu Titans,49,10,403,16,6,7,12,16,9,10.43,5,26.42,8,33,12,224,10,192,7,128,9,4,8,19,4,146,9,453,6
14,31,Gujarat Fortunegiants,49,11,402,14,9,13,9,15.36,11,10.07,8,25.42,11,44,8,215,11,176,11,128,9,4,8,13,7,141,10,396,12
14,30,U.P. Yoddha,49,12,398,18,4,14,8,14.64,12,10.64,3,25.28,12,50,4,205,12,163,12,139,5,1,12,11,9,149,6,447,8
